,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,,Region:,Yorke Peninsula,
,,Zone Sub Name:,Ardrossan 33/11kV,,Zone Sub Name:,Port Giles 33/11kV,,Zone Sub Name:,Edithburgh 33/11kV,,Zone Sub Name:,Kadina 33/11kV,,Zone Sub Name:,Maitland 33/11kV,,Zone Sub Name:,Minlaton 33/11kV,,Zone Sub Name:,Moonta 33/11kV,,Zone Sub Name:,Port Vincent 33/11kV,,Zone Sub Name:,Stansbury 33/11kV,,Zone Sub Name:,Wallaroo 33/11kV,,Zone Sub Name:,Warooka 33/11kV,,Zone Sub Name:,Yorketown 33/11kV,,Zone Sub Name:,Marion Bay 33/11kV,,Zone Sub Name:,Port Julia 33/11kV,
,,Associated Connection Point,Ardrossan West 132/33kV,,Associated Connection Point,Dalrymple 132/33kV,,Associated Connection Point,Dalrymple 132/33kV,,Associated Connection Point,Kadina East 132/33kV,,Associated Connection Point,Ardrossan West 132/33kV,,Associated Connection Point,Ardrossan West 132/33kV,,Associated Connection Point,Kadina East 132/33kV,,Associated Connection Point,Ardrossan West 132/33kV,,Associated Connection Point,Dalrymple 132/33kV,,Associated Connection Point,Kadina East 132/33kV,,Associated Connection Point,Dalrymple 132/33kV,,Associated Connection Point,Dalrymple 132/33kV,,Associated Connection Point,Dalrymple 132/33kV,,Associated Connection Point,Ardrossan West 132/33kV,
Date,Time,MW,MVar,MVA,MW,MVar,MVA,MW,MVar,MVA,MW,MVar,MVA,MW,MVar,MVA,Amp,,,Amp,,,Amp,,,MW,MVar,MVA,MW,MVar,MVA,MW,MVar,MVA,Amp,,,MW,MVar,MVA,Amp,,
01/07/2019,00:00,1.30,0.2310,1.32,0.1380,0.01,0.1380,0.8240,0.0980,0.83,5.1761,0.1414,5.1780,0.3060,0.1280,0.3320,80.80,,,258,,,29.40,,,0,0,0,3.7070,0.1680,3.7110,1.0530,0.0220,1.0530,52.80,,,0.25,-0.0180,0.2510,12.20,,
01/07/2019,00:30,1.30,0.2310,1.32,0.1150,0.0060,0.1150,0.75,0.0970,0.7560,4.7705,0.08,4.7710,0.2740,0.0640,0.2810,80.80,,,196,,,25.50,,,0,0,0,3.4640,0.15,3.4670,0.9860,0.0120,0.9860,42.80,,,0.1910,-0.0160,0.1920,12.30,,
01/07/2019,01:00,1.30,0.2310,1.32,0.1180,0.0070,0.1180,0.6490,0.0970,0.6560,4.1311,0.08,4.1320,0.2580,0.0640,0.2660,66.70,,,196,,,22.40,,,0,0,0,2.9630,0.0790,2.9640,0.9860,0.0120,0.9860,42.80,,,0.1980,-0.02,0.1990,11.10,,
01/07/2019,01:30,1.30,0.2310,1.32,0.11,0.0070,0.11,0.6250,0.0810,0.63,4.1311,0.08,4.1320,0.2580,0.0640,0.2660,73.50,,,196,,,19.30,,,0,0,0,2.7030,0.0790,2.7040,0.7730,0.0190,0.7730,42.80,,,0.1450,-0.02,0.1460,9.80,,
01/07/2019,02:00,1.30,0.2310,1.32,0.0950,0.0070,0.0950,0.5250,0.0810,0.5310,3.4937,0.08,3.4950,0.2580,0.0640,0.2660,63.40,,,164,,,16.10,,,0,0,0,2.4530,0.0790,2.4540,0.7730,0.0190,0.7730,32.70,,,0.1350,-0.0140,0.1360,9.80,,
01/07/2019,02:30,1.30,0.2310,1.32,0.0830,0.0040,0.0830,0.44,0.07,0.4460,3.4937,0.08,3.4950,0.1940,0.0640,0.2040,63,,,133,,,14.30,,,0,0,0,2.4730,0.0570,2.4740,0.5640,-0.0140,0.5640,32.70,,,0.14,-0.01,0.14,9.20,,
01/07/2019,03:00,1.30,0.2310,1.32,0.0710,0.0050,0.0710,0.44,0.07,0.4460,3.1818,0.08,3.1830,0.1940,0.0640,0.2040,63,,,133,,,14.30,,,0,0,0,2.04,-0.0230,2.04,0.5640,-0.0140,0.5640,32.70,,,0.1140,-0.0180,0.1150,9.20,,
